paper_slug,title,year,venue,doi,source,citation_count,priority_score,themes,landing_page
2026-multi-uav-trajectory-optimization-for-bearing-only-localization-in-gps-denied-environments,Multi-UAV Trajectory Optimization for Bearing-Only Localization in GPS Denied Environments,2026,Open MIND,10.48550/arxiv.2602.11116,openalex,0,33.0,active_sensing_and_path_planning;bearing_only_core,https://doi.org/10.48550/arxiv.2602.11116
2026-predefined-time-bearing-only-mobile-localization-an-integral-reciprocal-zeroing-neural-netw,Predefined-Time Bearing-Only Mobile Localization: An Integral Reciprocal Zeroing Neural Network Solution,2026,,10.36227/techrxiv.177156335.53210623/v1,openalex,0,30.5,bearing_only_core,https://doi.org/10.36227/techrxiv.177156335.53210623/v1
2026-three-dimensional-passive-localization-of-near-surface-targets-using-a-deep-sea-bottom-moun,Three-dimensional passive localization of near-surface targets using a deep-sea bottom mounted horizontal array,2026,JASA Express Letters,10.1121/10.0043180,openalex,0,30.5,passive_uav_systems,https://doi.org/10.1121/10.0043180
2026-statistical-properties-of-target-localization-using-passive-radar-systems,Statistical Properties of Target Localization Using Passive Radar Systems,2026,ArXiv.org,10.48550/arxiv.2601.20817,openalex,0,30.5,passive_uav_systems,http://arxiv.org/abs/2601.20817
2026-formation-constrained-cooperative-localization-for-uav-swarms-in-gnss-denied-environments,Formation-Constrained Cooperative Localization for UAV Swarms in GNSS-Denied Environments,2026,Sensors,10.3390/s26061984,openalex,0,30.5,cooperative_and_distributed,https://doi.org/10.3390/s26061984
2026-adaptive-particle-filter-neural-network-fusion-for-cooperative-localization-of-multi-uav-sy,Adaptive Particle Filter-Neural Network Fusion for Cooperative Localization of Multi-UAV Systems in GNSS-Denied Indoor Environments,2026,Computers,10.3390/computers15030172,openalex,0,30.5,cooperative_and_distributed,https://doi.org/10.3390/computers15030172
2026-a-high-precision-cooperative-localization-method-for-uavs-based-on-multi-condition-constrai,A High-Precision Cooperative Localization Method for UAVs Based on Multi-Condition Constraints,2026,Sensors,10.3390/s26051641,openalex,0,30.5,cooperative_and_distributed,https://doi.org/10.3390/s26051641
2026-sensor-modalities-for-relative-localization-of-cooperative-uav-swarms-in-gnss-denied-enviro,SENSOR MODALITIES FOR RELATIVE LOCALIZATION OF COOPERATIVE UAV SWARMS IN GNSS-DENIED ENVIRONMENTS,2026,Bulletin of NTU KhPI Series Strategic Management Portfolio Program and Project Management,10.20998/2413-3000.2025.11.8,openalex,0,30.5,cooperative_and_distributed,https://doi.org/10.20998/2413-3000.2025.11.8
2026-hierarchical-bearing-only-multi-target-localization-via-coarse-to-fine-grid-search-and-nonl,Hierarchical Bearing-only Multi-target Localization via Coarse-to-fine Grid Search and Nonlinear Refinement,2026,Journal of Institute of Control Robotics and Systems,10.5302/j.icros.2026.25.0255,openalex,0,29.7,bearing_only_core,https://doi.org/10.5302/j.icros.2026.25.0255
2026-dfp-mlt-a-lightweight-wi-fi-based-framework-for-device-free-passive-multi-target-localizati,DFP-MLT: A lightweight wi-Fi-based framework for device-free passive multi-target localization via feature fusion and multi-label learning,2026,Digital Signal Processing,10.1016/j.dsp.2026.106053,openalex,0,29.7,passive_uav_systems,https://doi.org/10.1016/j.dsp.2026.106053
2026-mutual-information-based-communication-strategies-for-uav-cooperative-odor-source-localizat,Mutual Information-Based Communication Strategies for UAV Cooperative Odor Source Localization: 3D Simulation Experiments and Parameter Design,2026,,10.1109/icaiic68212.2026.11454215,openalex,0,29.7,cooperative_and_distributed,https://doi.org/10.1109/icaiic68212.2026.11454215
2026-target-localization-in-uav-swarm-under-multi-error-coupling-a-cooperative-utility-of-inform,Target localization in UAV swarm under multi-error coupling: A cooperative utility of information optimization approach,2026,Ad Hoc Networks,10.1016/j.adhoc.2026.104154,openalex,0,29.7,cooperative_and_distributed,https://doi.org/10.1016/j.adhoc.2026.104154
2026-multi-uav-assisted-cooperative-localization-of-underground-sensor-nodes-using-multiobjectiv,Multi-UAV-Assisted Cooperative Localization of Underground Sensor Nodes Using Multiobjective Reinforcement Learning,2026,IEEE Internet of Things Journal,10.1109/jiot.2026.3655176,openalex,0,29.7,cooperative_and_distributed,https://doi.org/10.1109/jiot.2026.3655176
2026-bearing-only-localization-for-wideband-off-grid-sources-with-distributed-sensor-array-netwo,Bearing-Only Localization for Wideband Off-Grid Sources with Distributed Sensor Array Networks,2026,IEEE Sensors Journal,10.1109/jsen.2026.3651323,openalex,0,29.7,bearing_only_core,https://doi.org/10.1109/jsen.2026.3651323
2026-sensing-with-unknown-signals-isac-enabled-distributed-passive-sensing-for-multi-target-dete,Sensing With Unknown Signals: ISAC Enabled Distributed Passive Sensing for Multi-Target Detection and Localization,2026,IEEE Transactions on Network Science and Engineering,10.1109/tnse.2026.3670825,openalex,0,29.7,passive_uav_systems,https://doi.org/10.1109/tnse.2026.3670825
2026-direct-target-localization-for-distributed-hybrid-active-passive-radars-with-direct-path-in,Direct Target Localization for Distributed Hybrid Active-Passive Radars with Direct-path Interference,2026,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2026.3679854,openalex,0,29.7,passive_uav_systems,https://doi.org/10.1109/taes.2026.3679854
2026-asymmetric-cooperative-localization-for-uav-inspection-inside-wind-turbine-towers-based-on-,Asymmetric Cooperative Localization for UAV Inspection Inside Wind Turbine Towers Based on 3D Semantic Segmentation,2026,,10.1109/iceaai68945.2026.11442581,openalex,0,29.7,cooperative_and_distributed,https://doi.org/10.1109/iceaai68945.2026.11442581
2026-set-membership-estimation-based-distributed-cooperative-localization-of-multiple-uavs,Set-Membership Estimation Based Distributed Cooperative Localization of Multiple UAVs,2026,IEEE Transactions on Signal and Information Processing over Networks,10.1109/tsipn.2026.3663852,openalex,0,29.7,cooperative_and_distributed,https://doi.org/10.1109/tsipn.2026.3663852
2026-study-on-cooperative-localization-using-heterogeneous-uav-swarm,Study on Cooperative Localization Using Heterogeneous UAV Swarm,2026,Tokyo Tech Research Repository (Tokyo Institute of Technology),,openalex,0,27.7,cooperative_and_distributed,http://t2r2.star.titech.ac.jp/cgi-bin/publicationinfo.cgi?q_publication_content_number=CTT100940472
2025-a-comprehensive-survey-on-short-distance-localization-of-uavs,A Comprehensive Survey on Short-Distance Localization of UAVs,2025,Drones,10.3390/drones9030188,openalex,13,36.145,survey_and_scope,https://doi.org/10.3390/drones9030188
2025-a-survey-of-sensors-based-autonomous-unmanned-aerial-vehicle-uav-localization-techniques,A survey of sensors based autonomous unmanned aerial vehicle (UAV) localization techniques,2025,Complex & Intelligent Systems,10.1007/s40747-025-01961-2,openalex,11,35.652,survey_and_scope,https://doi.org/10.1007/s40747-025-01961-2
2025-node-selection-and-path-optimization-for-passive-target-localization-via-uavs,Node Selection and Path Optimization for Passive Target Localization via UAVs,2025,Sensors,10.3390/s25030780,openalex,4,32.85,passive_uav_systems,https://doi.org/10.3390/s25030780
2025-bio-inspired-observability-enhancement-method-for-uav-target-localization-and-sensor-bias-e,Bio-Inspired Observability Enhancement Method for UAV Target Localization and Sensor Bias Estimation with Bearing-Only Measurement,2025,Biomimetics,10.3390/biomimetics10050336,openalex,0,32.7,bearing_only_core;geometry_and_observability;robustness_and_bias,https://doi.org/10.3390/biomimetics10050336
2025-research-on-a-radioactive-source-localization-algorithm-based-on-uav-aerial-survey-data,Research on a radioactive source localization algorithm based on UAV aerial survey data,2025,Radiation Measurements,10.1016/j.radmeas.2025.107437,openalex,3,31.336,survey_and_scope,https://doi.org/10.1016/j.radmeas.2025.107437
2025-variable-speed-uav-path-optimization-based-on-the-crlb-criterion-for-passive-target-localiz,Variable-Speed UAV Path Optimization Based on the CRLB Criterion for Passive Target Localization,2025,Sensors,10.3390/s25175297,openalex,2,31.216,passive_uav_systems,https://doi.org/10.3390/s25175297
2025-range-and-bearing-estimations-using-trilateration-ultrawideband-tag-for-range-only-simultan,Range and Bearing Estimations Using Trilateration Ultrawideband Tag for Range-Only Simultaneous Localization and Mapping,2025,IEEE Transactions on Industrial Electronics,10.1109/tie.2025.3589465,openalex,2,30.416,bearing_only_core,https://doi.org/10.1109/tie.2025.3589465
2025-the-error-lower-bound-of-target-state-estimation-in-passive-localization-by-bearing-only-se,The Error Lower Bound of Target State Estimation in Passive Localization by Bearing-Only Sensors,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2025.3551589,openalex,2,30.416,bearing_only_core,https://doi.org/10.1109/tim.2025.3551589
2025-bearing-only-passive-localization-and-optimized-adjustment-for-uav-formations-under-electro,Bearing-Only Passive Localization and Optimized Adjustment for UAV Formations Under Electromagnetic Silence,2025,Drones,10.3390/drones9110767,openalex,0,30.2,bearing_only_core;passive_uav_systems,https://doi.org/10.3390/drones9110767
2025-research-on-purely-azimuthal-passive-localization-method-in-uav-formation-flight,Research on purely azimuthal passive localization method in UAV formation flight,2025,Journal of Physics Conference Series,10.1088/1742-6596/3073/1/012027,openalex,1,29.918,passive_uav_systems,https://doi.org/10.1088/1742-6596/3073/1/012027
2025-passive-localization-of-dual-targets-in-deep-ocean-direct-arrival-zone-using-a-horizontal-l,Passive localization of dual targets in deep-ocean direct-arrival zone using a horizontal line array,2025,JASA Express Letters,10.1121/10.0039110,openalex,1,29.918,passive_uav_systems,https://doi.org/10.1121/10.0039110
2025-a-cooperative-localization-algorithm-based-on-theory-of-surveying-adjustment-with-range-net,A Cooperative Localization Algorithm Based on Theory of Surveying Adjustment With Range Network for UAV Clusters,2025,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2025.3587358,openalex,1,29.118,survey_and_scope,https://doi.org/10.1109/tim.2025.3587358
2025-optimization-of-observer-trajectory-for-coordinated-bearing-only-localization-in-constraine,Optimization of Observer Trajectory for Coordinated Bearing-Only Localization in Constrained Three-Dimensional Scenarios,2025,,10.2514/6.2025-2604,openalex,1,29.118,active_sensing_and_path_planning,https://doi.org/10.2514/6.2025-2604
2025-moving-target-localization-and-circumnavigation-control-for-second-order-multiagent-systems,Moving‐Target Localization and Circumnavigation Control for Second‐Order Multiagent Systems With Bearing‐Only Measurements,2025,International Journal of Robust and Nonlinear Control,10.1002/rnc.70085,openalex,1,29.118,bearing_only_core,https://doi.org/10.1002/rnc.70085
2025-predefined-time-target-localization-and-circumnavigation-using-bearing-only-measurements-th,Predefined-Time Target Localization and Circumnavigation using Bearing-Only Measurements: Theory and Experiments,2025,,10.23919/ecc65951.2025.11186835,openalex,1,29.118,bearing_only_core,https://doi.org/10.23919/ecc65951.2025.11186835
2025-a-deep-neural-network-based-doa-estimation-method-for-sound-guided-relative-localization-of,A Deep Neural Network-Based DOA Estimation Method for Sound-Guided Relative Localization of Micro-UAVs,2025,,10.1109/aim64088.2025.11175850,openalex,1,29.118,cooperative_and_distributed,https://doi.org/10.1109/aim64088.2025.11175850
2025-adaptive-sliding-window-factor-graph-optimization-for-enhanced-uwb-ins-integrated-uav-local,Adaptive Sliding Window Factor Graph Optimization For Enhanced UWB/INS Integrated UAV Localization,2025,Centre français de recherche aérospatiale - The French Aerospace Lab,10.13009/eucass2025-139,openalex,0,27.7,factor_graph_and_graph_optimization,https://doi.org/10.13009/eucass2025-139
